rank,frequency,word,pos
955,-1,방안,명사
957,-1,팔,명사
958,-1,분명하다,형용사
959,-1,분석,명사
960,-1,소녀,명사
961,-1,지나가다,동사
963,-1,상품,명사
965,-1,설명,명사
966,-1,훌륭하다,형용사
967,-1,관계자,명사
968,-1,새로,부사
970,-1,이어지다,동사
971,-1,티브이,명사
972,-1,봄,명사
973,-1,종류,명사
974,-1,낮다,형용사
975,-1,어깨,명사
976,-1,지적하다,동사
977,-1,부부,명사
978,-1,오래,부사
979,-1,요구,명사
980,-1,키우다,동사
981,-1,눕다,동사
982,-1,발달하다,동사
983,-1,발전하다,동사
984,-1,여행,명사
985,-1,죽음,명사
986,-1,고통,명사
987,-1,등장하다,동사
988,-1,공,명사
990,-1,어울리다,동사
991,-1,오월,명사
992,-1,쉬다,동사
993,-1,알리다,동사
994,-1,차다,동사
996,-1,과,명사
997,-1,멀리,부사
998,-1,빼다,동사
999,-1,예정,명사
1000,-1,오빠,명사
1002,-1,즐겁다,형용사
1003,-1,한계,명사
1004,-1,흔히,부사
1005,-1,바탕,명사
1006,-1,사월,명사
1007,-1,싸우다,동사
1008,-1,언제,대명사
1009,-1,예쁘다,형용사
1010,-1,갈등,명사
1011,-1,느껴지다,동사
1014,-1,의지,명사
1015,-1,전문,명사
1016,-1,정확하다,형용사
1017,-1,초기,명사
1018,-1,나중,명사
1019,-1,등,명사
1020,-1,맛있다,형용사
1021,-1,며칠,명사
1022,-1,신경,명사
1023,-1,찾아오다,동사
1025,-1,미,명사
1026,-1,사용,명사
1027,-1,시선,명사
1028,-1,아무런,관사
1029,-1,언론,명사
1030,-1,투자,명사
1032,-1,지원,명사
1033,-1,결정하다,동사
1034,-1,경영,명사
1036,-1,목표,명사
1037,-1,성장,명사
1038,-1,숲,명사
1039,-1,없어지다,동사
1040,-1,작년,명사
1041,-1,내려가다,동사
1042,-1,떠오르다,동사
1044,-1,미치다,동사
1045,-1,새벽,명사
1046,-1,쓰레기,명사
1047,-1,얼른,부사
1048,-1,임금,명사
1049,-1,피해,명사
1050,-1,한,명사
1051,-1,무섭다,형용사
1052,-1,직장,명사
1053,-1,참다,동사
1054,-1,크기,명사
1055,-1,고기,명사
1056,-1,남기다,동사
1057,-1,서양,명사
1058,-1,주요,명사
1059,-1,지나치다,형용사
1060,-1,가져오다,동사
1061,-1,냄새,명사
1062,-1,부드럽다,형용사
1063,-1,여기다,동사
1067,-1,공연,명사
1068,-1,남녀,명사
1069,-1,내놓다,동사
1070,-1,떼다,동사
1071,-1,만들어지다,동사
1072,-1,속도,명사
1073,-1,심각하다,형용사
1074,-1,준비,명사
1075,-1,계속되다,동사
1076,-1,구월,명사
1077,-1,맑다,형용사
1078,-1,소년,명사
1079,-1,소식,명사
1080,-1,유월,명사
1081,-1,작용,명사
1082,-1,허리,명사
1083,-1,골,명사
1084,-1,공업,명사
1085,-1,그중,명사
1086,-1,노인,명사
1087,-1,벌다,동사
1088,-1,살리다,동사
1089,-1,새,명사
1090,-1,영어,명사
1091,-1,출신,명사
1092,-1,결정,명사
1093,-1,경향,명사
1094,-1,기록,명사
1096,-1,대답하다,동사
1097,-1,반면,명사
1098,-1,썰다,동사
1099,-1,움직임,명사
1100,-1,이미지,명사
1101,-1,터지다,동사
1102,-1,특성,명사
1103,-1,교장,명사
1104,-1,벗다,동사
1105,-1,업무,명사
1106,-1,입시,명사
1107,-1,준비하다,동사
1108,-1,청소년,명사
1109,-1,돕다,동사
1110,-1,응,감탄사
1111,-1,이기다,동사
1112,-1,찾아보다,동사
1113,-1,취하다,동사
1114,-1,다루다,동사
1115,-1,달,명사
1116,-1,사장,명사
1117,-1,삼월,명사
1120,-1,그렇지만,부사
1122,-1,선배,명사
1123,-1,업체,명사
1124,-1,키,명사
1125,-1,구하다,동사
1126,-1,국회,명사
1127,-1,그러므로,부사
1128,-1,포함하다,동사
1129,-1,걱정,명사
1130,-1,결혼하다,동사
1134,-1,만약,명사
1135,-1,바르다,형용사
1136,-1,세월,명사
